City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
Mananjary,-21.2167,48.3333,71.13,77,56,4.12,MG,1657701742
Bilma,18.6853,12.9164,96.57,14,97,11.01,NE,1657702015
Caravelas,-17.7125,-39.2481,67.68,90,5,2.86,BR,1657702015
Martapura,-3.4167,114.85,82.49,74,40,5.75,ID,1657702015
Tuktoyaktuk,69.4541,-133.0374,35.87,96,100,11.43,CA,1657702015
Belaya gora,68.5333,146.4167,64.27,67,100,20.24,RU,1657702015
Dhankuta,26.9833,87.3333,79.81,73,99,5.3,NP,1657702015
Kapaa,22.0752,-159.319,79.12,86,100,18.41,US,1657702016
Rikitea,-23.1203,-134.9692,75.02,74,100,10.09,PF,1657702016
Busselton,-33.65,115.3333,59.85,59,38,1.57,AU,1657702016
Castro,-24.7911,-50.0119,53.56,97,95,5.99,BR,1657702016
Dicabisagan,17.0818,122.4157,83.95,79,100,7.61,PH,1657702016
Tulum,20.2167,-87.4667,80.38,82,99,7.78,MX,1657702016
Cape town,-33.9258,18.4232,59.88,75,75,19.57,ZA,1657701889
Tiksi,71.6872,128.8694,36.48,90,100,5.48,RU,1657702016
Ahipara,-35.1667,173.1667,56.55,86,78,9.6,NZ,1657702016
Geraldton,-28.7667,114.6,68.41,73,85,12.66,AU,1657702016
Provideniya,64.3833,-173.3,50.07,86,91,2.48,RU,1657702017
Kaitangata,-46.2817,169.8464,42.44,96,100,13.67,NZ,1657702017
Smithers,54.7804,-127.1743,48.52,81,100,2.3,CA,1657702017
Knysna,-34.0363,23.0471,61.88,51,0,6.96,ZA,1657702017
Turukhansk,65.8167,87.9833,62.65,39,100,8.1,RU,1657702017
Port alfred,-33.5906,26.891,69.19,39,0,7.0,ZA,1657702017
Rawah,34.4816,41.9093,103.42,15,0,17.54,IQ,1657702017
Port-gentil,-0.7193,8.7815,76.96,78,75,9.22,GA,1657702018
Hasaki,35.7333,140.8333,75.6,88,99,9.53,JP,1657702018
Ushuaia,-54.8,-68.3,37.06,75,40,6.91,AR,1657702018
Barrow,71.2906,-156.7887,37.42,87,100,8.05,US,1657702018
Katsuura,35.1333,140.3,75.7,91,94,1.97,JP,1657702018
Jamestown,42.097,-79.2353,65.01,87,100,3.44,US,1657702018
Ilulissat,69.2167,-51.1,41.02,93,100,4.61,GL,1657702018
Mataura,-46.1927,168.8643,44.47,98,100,6.33,NZ,1657702018
Qandala,11.472,49.8728,94.86,38,100,11.83,SO,1657702018
Georgetown,5.4112,100.3354,87.73,75,20,7.0,MY,1657701910
Cidreira,-30.1811,-50.2056,47.52,86,2,4.09,BR,1657702018
Menongue,-14.6585,17.691,72.09,27,0,9.51,AO,1657702019
